lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,run_location
Terrestrial Ecotoxicity Potential (Tetp),8765.62466,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Fossil Fuel Potential (Ffp),860.5142096,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Freshwater Eutrophication Potential (Fep),0.047103805,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Marine Eutrophication Potential (Mep),0.017616549,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Human Toxicity Potential (Htpc),121.6672987,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Human Toxicity Potential (Htpnc),132.4667581,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Ionising Radiation Potential (Irp),6.950535132,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Agricultural Land Occupation (Lop),2.378036627,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Surplus Ore Potential (Sop),16.27889125,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Ozone Depletion Potential (Odpinfinite),0.000135919,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Particulate Matter Formation Potential (Pmfp),0.37912342,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Photochemical Oxidant Formation Potential: Humans (Hofp),1.556887636,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),1.904231028,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Water Consumption Potential (Wcp),1.03743668,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Adaptation to resources services loss (beta),3812.560099,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, long term, CO2 uptake",-2.658217262,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, long term, biogenic",2417.915639,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, long term, fossil",421.7334095,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, long term, land transformation",0.187430648,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, short term, CO2 uptake",-2.658217262,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, short term, biogenic",2418.073617,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, short term, fossil",618.2152694,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Climate change, short term, land transformation",0.187980527,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Fossil and nuclear energy use,41048.9304,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Freshwater acidification,1.03284966,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Freshwater ecotoxicity,161080.3017,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Freshwater eutrophication,0.009683656,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Human toxicity cancer,1.34E-06,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Human toxicity non-cancer,1.75E-05,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Ionizing radiations,935.9875142,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Land occupation, biodiversity",4.151330391,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
"Land transformation, biodiversity",0.102492156,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Marine eutrophication,0.044977891,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Mineral resources use,16.78296483,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Ozone layer depletion,7.29E-05,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Particulate matter formation,0.122649238,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Photochemical ozone formation,1.557054647,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Resources services deficit (beta),0.118636942,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Terrestrial acidification,1.091479978,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Water scarcity,51.30014512,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Calcination [allocated to neodymium oxide],kilogram,1,MM
Acidification Potential (Ap) No Lt,0.000781439,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Global Warming Potential (Gwp100) No Lt,0.204401493,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Ecotoxicity: Freshwater No Lt,0.790778372,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Eutrophication Potential No Lt,5.23E-05,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Human Toxicity: Carcinogenic No Lt,5.35E-09,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Human Toxicity: Non-Carcinogenic No Lt,6.00E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Ozone Depletion Potential (Odp) No Lt,2.33E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Particulate Matter Formation Potential (Pmfp) No Lt,8.51E-05,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Maximum Incremental Reactivity (Mir) No Lt,0.005578863,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Acidification Potential (Ap),0.000784861,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Global Warming Potential (Gwp100),0.204431134,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Ecotoxicity: Freshwater,5.24634237,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Eutrophication Potential,0.000304561,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Human Toxicity: Carcinogenic,2.45E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Human Toxicity: Non-Carcinogenic,1.06E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Ozone Depletion Potential (Odp),2.33E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Particulate Matter Formation Potential (Pmfp),8.53E-05,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Maximum Incremental Reactivity (Mir),0.005698273,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite HCL Digestion,kilogram,1,MM
Terrestrial Acidification Potential (Tap),0.000709779,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Global Warming Potential (Gwp1000),0.209966031,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Freshwater Ecotoxicity Potential (Fetp),0.017038771,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Marine Ecotoxicity Potential (Metp),0.022626034,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Terrestrial Ecotoxicity Potential (Tetp),1.523614904,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Fossil Fuel Potential (Ffp),0.045814922,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Freshwater Eutrophication Potential (Fep),3.14E-05,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Marine Eutrophication Potential (Mep),2.97E-06,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Human Toxicity Potential (Htpc),0.017517926,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Human Toxicity Potential (Htpnc),0.415912012,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Ionising Radiation Potential (Irp),0.001483712,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Agricultural Land Occupation (Lop),0.001638903,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Surplus Ore Potential (Sop),0.040396661,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Ozone Depletion Potential (Odpinfinite),2.93E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Particulate Matter Formation Potential (Pmfp),0.000233142,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Photochemical Oxidant Formation Potential: Humans (Hofp),0.000236582,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.000258727,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Water Consumption Potential (Wcp),0.000962862,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite HCL Digestion,kilogram,1,MM
Adaptation to resources services loss (beta),0.328050319,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, long term, CO2 uptake",-0.002801721,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, long term, biogenic",0.003137012,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, long term, fossil",0.192365891,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, long term, land transformation",4.74E-05,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, short term, CO2 uptake",-0.002801721,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, short term, biogenic",0.003213658,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, short term, fossil",0.202953415,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Climate change, short term, land transformation",4.75E-05,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Fossil and nuclear energy use,2.142674744,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Freshwater acidification,0.000771982,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Freshwater ecotoxicity,79.88244581,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Freshwater eutrophication,7.58E-06,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Human toxicity cancer,5.40E-09,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Human toxicity non-cancer,3.82E-08,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Ionizing radiations,0.208751818,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Land occupation, biodiversity",0.003014316,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
"Land transformation, biodiversity",2.09E-05,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Marine eutrophication,9.58E-06,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Mineral resources use,0.004268774,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Ozone layer depletion,2.49E-09,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Particulate matter formation,0.000100015,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Photochemical ozone formation,0.000236542,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Resources services deficit (beta),1.20E-05,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Terrestrial acidification,0.000788018,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Water scarcity,0.075628594,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite HCL Digestion,kilogram,1,MM
Acidification Potential (Ap) No Lt,0.002240493,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Global Warming Potential (Gwp100) No Lt,1.022719852,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Ecotoxicity: Freshwater No Lt,18.7832786,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Eutrophication Potential No Lt,0.166018678,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Human Toxicity: Carcinogenic No Lt,1.21E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Human Toxicity: Non-Carcinogenic No Lt,3.61E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Ozone Depletion Potential (Odp) No Lt,6.99E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Particulate Matter Formation Potential (Pmfp) No Lt,0.00140365,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Maximum Incremental Reactivity (Mir) No Lt,0.031677299,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Acidification Potential (Ap),0.002300656,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Global Warming Potential (Gwp100),1.023221128,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Ecotoxicity: Freshwater,34.96642528,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Eutrophication Potential,0.169195738,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Human Toxicity: Carcinogenic,5.51E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Human Toxicity: Non-Carcinogenic,3.76E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Ozone Depletion Potential (Odp),6.99E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Particulate Matter Formation Potential (Pmfp),0.001448876,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Maximum Incremental Reactivity (Mir),0.033697195,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Mining,kilogram,1,MM
Terrestrial Acidification Potential (Tap),0.001758742,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Global Warming Potential (Gwp1000),1.070767052,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Freshwater Ecotoxicity Potential (Fetp),0.100154512,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Marine Ecotoxicity Potential (Metp),0.144473855,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Terrestrial Ecotoxicity Potential (Tetp),19.27418717,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Fossil Fuel Potential (Ffp),0.136315602,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Freshwater Eutrophication Potential (Fep),0.008060551,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Marine Eutrophication Potential (Mep),0.018219214,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Human Toxicity Potential (Htpc),0.388588249,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Human Toxicity Potential (Htpnc),5.355103095,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Ionising Radiation Potential (Irp),0.027185433,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Agricultural Land Occupation (Lop),-0.009209102,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Surplus Ore Potential (Sop),0.022193309,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Ozone Depletion Potential (Odpinfinite),1.95E-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Particulate Matter Formation Potential (Pmfp),0.000732148,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Photochemical Oxidant Formation Potential: Humans (Hofp),0.001371219,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.001425474,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Water Consumption Potential (Wcp),0.005274316,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,MM,Monazite Mining,kilogram,1,MM
Adaptation to resources services loss (beta),1.745924645,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, long term, CO2 uptake",-0.012536452,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, long term, biogenic",0.360778383,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, long term, fossil",0.565150818,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, long term, land transformation",0.000653816,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, short term, CO2 uptake",-0.012536452,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, short term, biogenic",0.416711657,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, short term, fossil",0.616884785,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Climate change, short term, land transformation",0.000653948,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Fossil and nuclear energy use,6.796843192,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Freshwater acidification,0.00151125,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Freshwater ecotoxicity,6537.489397,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Freshwater eutrophication,0.044626631,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Human toxicity cancer,1.31E-08,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Human toxicity non-cancer,6.01E-07,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Ionizing radiations,3.610551306,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Land occupation, biodiversity",-0.025762677,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
"Land transformation, biodiversity",-0.000131717,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Marine eutrophication,0.018014267,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Mineral resources use,0.047204535,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Ozone layer depletion,7.10E-09,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Particulate matter formation,0.000412872,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Photochemical ozone formation,0.001370519,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Resources services deficit (beta),0.000198115,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Terrestrial acidification,0.001808249,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Water scarcity,-93.61592353,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,MM,Monazite Mining,kilogram,1,MM
Acidification Potential (Ap) No Lt,0.013637539,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Roasting,kilogram,1,MM
Global Warming Potential (Gwp100) No Lt,2.564342,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Roasting,kilogram,1,MM
Ecotoxicity: Freshwater No Lt,3.663458358,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Roasting,kilogram,1,MM
Eutrophication Potential No Lt,0.000556456,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Roasting,kilogram,1,MM
Human Toxicity: Carcinogenic No Lt,1.22E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,MM,Monazite Roasting,kilogram,1,MM
