cost_usd,gwp_kg_co2eq,child_labor_hrs
218612.612756838,133039.984900519,2.726532594
218624.876497131,133522.616844952,2.698191643
218640.052220058,133136.511289291,2.719447357
218648.64369776,133908.72240078,2.67693593
218662.283702421,133619.143234029,2.691106405
218666.827993783,134514.175009657,2.648594979
218667.49159041,133233.037678358,2.712362119
218691.59380801,134487.880734295,2.648594979
218694.931021661,133329.564067277,2.705276881
218698.915217373,134005.248789531,2.669850724
218701.197767514,133715.669622945,2.684021168
218725.779845764,133426.090456194,2.698191643
218742.423413428,133812.196011864,2.67693593
218744.951590492,133039.984900519,2.719447357
218760.213726319,133522.61684511,2.691106405
218772.391052691,133136.511289292,2.712362119
218782.509560022,134391.354345376,2.648594979
218789.831705585,133908.72240061,2.669850692
218797.620991039,133619.143234029,2.684021168
218799.830473128,133233.037678211,2.705276881
218819.21975408,134510.664788886,2.641509741
218827.269855539,133329.564067277,2.698191643
218830.954259167,132943.458511662,2.720459234
218830.954273811,132943.458511662,2.720459233
218830.954355177,132943.458511625,2.720459535
218830.954450755,132943.458511625,2.720459534
218836.840817262,133715.669622945,2.67693593
218840.679372069,134487.880734296,2.641509741
218849.851007706,132943.4585116,2.719447357
218859.615310739,133426.090456194,2.691106405
218873.425399745,134294.827956287,2.648594979
218877.290424386,133039.984900519,2.712362119
218883.465580743,133812.196011864,2.669850692
218895.55102985,133522.61684511,2.684021168
218904.729841133,133136.511289439,2.705276881
218931.595153479,134391.354345376,2.641509741
218932.169272138,133233.037678358,2.698191643
218932.95828442,133619.143234029,2.67693593
218961.036123609,133329.564067274,2.691106405
218964.341093801,134198.301567538,2.648594979
218978.00049224,133715.669622945,2.669850692
218982.189855963,132943.4585116,2.712362119
218993.481115523,133426.090456033,2.684021168
219009.62932931,133039.984900372,2.705276881
219022.510905477,134294.827956457,2.641509741
219030.888333082,133522.61684511,2.67693593
219037.068688717,133136.511289439,2.698191643
219055.256909605,134101.775178449,2.648594979
219064.508138502,133233.037678211,2.691106405
219073.505954471,133619.143234029,2.669850692
219094.871558555,133329.564067274,2.684021168
219113.42667219,134198.301567538,2.641509741
219114.52868943,132943.4585116,2.705276881
219124.003281853,134503.644350329,2.627339265
219128.818420646,133426.090456033,2.67693593
219138.850529348,134487.880734296,2.627339265
219141.96810625,133039.984900519,2.698191643
219146.172673726,134005.24878953,2.648594979
219169.407522998,133136.511289439,2.691106405
219171.652205355,133522.61684511,2.669850692
219196.846925204,133233.037678358,2.684021168
219204.342439082,134101.775178619,2.641509741
219228.707009802,133329.564067274,2.67693593
219229.766295792,134391.354345376,2.627339265
219237.088385622,133908.72240078,2.648594979
219243.450382389,132846.932122743,2.703990932
219243.450426884,132846.932122743,2.703990931
219243.45044762,132846.932122706,2.703991233
219246.867508649,132943.4585116,2.698191643
219269.798476884,133426.090456033,2.669850692
219274.306924826,133039.984900519,2.691106405
219276.395621096,134500.134120505,2.620254001
219287.936154875,134487.880734126,2.620254027
219295.258279832,134005.24878953,2.641509741
219301.746356633,133136.511289439,2.684021168
219320.678353271,134294.827956287,2.627339442
219330.127822773,133233.037678355,2.67693593
219330.327498346,133812.196011864,2.648594979
219351.766972237,132846.932122534,2.698191643
219368.480232248,133329.564067275,2.669850692
219378.851888902,134391.354345376,2.620254027
219379.206386968,132943.458511453,2.691106405
219386.173963588,133908.72240078,2.641509741
219406.645829779,133039.984900372,2.684021168
219411.597829347,134198.301567538,2.627339265
219424.862505752,133715.669622782,2.648594979
