analyzed_process,analyzed_process_location,flow_name,flow_category,flow_subcategory,flow_unit,flow_uuid,amount,num_contributing_activities,source_process,source_material,lcia_method,lcia_category,profile_basis,raw_contribution_rows,num_contributing_regions
Bauxite mining__bauxite,GR,"Particulate Matter, > 2.5 um and < 10um (particulate matter formation potential (PMFP))",characterized inventory / particulate matter formation potential (PMFP),total_life_cycle aggregated background activities,PM2.5-Eq,f67b078f-52fb-5bd3-a2e1-012c1205f6c8,2.3918278413212722e-05,38,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Particulate Matter Formation Potential (Pmfp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,26
Bauxite mining__bauxite,KZ,Nitrogen oxides (acidification potential (AP)),characterized inventory / acidification potential (AP),total_life_cycle aggregated background activities,kg SO2-Eq,dcf8a461-53fa-5cc7-b4a3-d12df0cf592b,0.00011954311915241607,49,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Acidification Potential (Ap),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,32
Bauxite mining__bauxite,KZ,"1,2-Dichlorobenzene (ecotoxicity: freshwater)",characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,b42c5185-56fb-5e08-b7c7-3f62bc05f362,0.0018766197964045692,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,94,7
Bauxite mining__bauxite,KZ,Iprodione (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,7b230a9c-123a-5e6a-96a2-25079884be38,0.0428212380158405,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,4
Bauxite mining__bauxite,KZ,Nitrogen dioxide (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,3356ae69-565a-5ada-a4fb-f77547b57cbb,0.004370655103908204,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,60,5
Bauxite mining__bauxite,KZ,Nitrogen oxides (eutrophication potential),characterized inventory / eutrophication potential,total_life_cycle aggregated background activities,kg N-Eq,9bc124a9-cfa2-5f42-9fd1-3305f49a7ff0,1.6139667501827445e-05,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Eutrophication Potential,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,28
Bauxite mining__bauxite,KZ,Dinitrogen monoxide (global warming potential (GWP100)),characterized inventory / global warming potential (GWP100),total_life_cycle aggregated background activities,kg CO2-Eq,87b8d04a-11c1-5316-9965-fcb4040e556f,0.011737687355425621,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Global Warming Potential (Gwp100),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,38
Bauxite mining__bauxite,KZ,Arsenic ion (human toxicity: carcinogenic),characterized inventory / human toxicity: carcinogenic,total_life_cycle aggregated background activities,CTUh,14c8cdfe-89e9-5b94-83b7-34f1e82834ae,4.1086949522734725e-10,18,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,13
Bauxite mining__bauxite,KZ,"1,2-Dichlorobenzene (human toxicity: non-carcinogenic)",characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,579dfcea-81fa-505b-ad74-89c2936655ad,1.6565224126661725e-10,10,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,123,7
Bauxite mining__bauxite,KZ,Imidacloprid (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,bb90bcd5-e8b4-5130-bb48-99464658f08c,1.5066024003373425e-11,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,31,4
Bauxite mining__bauxite,KZ,Iprodione (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,ff923e00-e59c-5dcd-8d08-11e1f3a95039,1.3224322540720766e-09,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,6
Bauxite mining__bauxite,KZ,Nitrogen oxides (maximum incremental reactivity (MIR)),characterized inventory / maximum incremental reactivity (MIR),total_life_cycle aggregated background activities,kg O3-Eq,d9392cc0-b417-585f-b468-ee618a904920,0.0026770293023446884,25,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Maximum Incremental Reactivity (Mir),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,17
Bauxite mining__bauxite,KZ,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,0d70081a-ad8e-5dd8-841e-7c833e295240,1.971447751103211e-09,13,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,85,11
Bauxite mining__bauxite,KZ,"Methane, monochloro-, R-40 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,29ac30ad-297c-5df0-b2da-95a2f19058e0,2.208087159185159e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,69,4
Bauxite mining__bauxite,KZ,"Methane, tetrachloro-, R-10 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,ea9dca3e-34cb-58e6-9c88-7ad932b6a313,4.573472994125852e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,7
Bauxite mining__bauxite,KZ,"Particulate Matter, > 2.5 um and < 10um (particulate matter formation potential (PMFP))",characterized inventory / particulate matter formation potential (PMFP),total_life_cycle aggregated background activities,PM2.5-Eq,0efbb388-110b-5f96-a2ae-c3a68e97a5bc,2.3918278413212722e-05,38,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Particulate Matter Formation Potential (Pmfp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,26
Bayer liquor refining__4N_Ga,AU,Nitrogen oxides (acidification potential (AP)),characterized inventory / acidification potential (AP),total_life_cycle aggregated background activities,kg SO2-Eq,777e8607-9413-5f82-b688-8e931d0c8188,1.0147234885306553,49,Bayer liquor refining,4N_Ga,TRACI2.1 characterized inventory,Acidification Potential (Ap),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,32
Bayer liquor refining__4N_Ga,AU,"1,2-Dichlorobenzene (ecotoxicity: freshwater)",characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,d245b7b8-fb11-5a3f-b934-14d5c634e413,118.51020659552076,7,Bayer liquor refining,4N_Ga,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,94,7
Bayer liquor refining__4N_Ga,AU,Iprodione (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,113db082-92a8-5bec-97ff-6a0bdf7630ea,2972.333474495867,4,Bayer liquor refining,4N_Ga,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,4
Bayer liquor refining__4N_Ga,AU,Nitrogen dioxide (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,4bb46865-91b1-5164-bba4-4ac3907e5b9e,267.46824729831644,6,Bayer liquor refining,4N_Ga,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,60,5
Bayer liquor refining__4N_Ga,AU,Nitrogen oxides (eutrophication potential),characterized inventory / eutrophication potential,total_life_cycle aggregated background activities,kg N-Eq,12997eab-b3e1-5fdc-a02f-bcc6b8b5c462,1.7661912708234606,43,Bayer liquor refining,4N_Ga,TRACI2.1 characterized inventory,Eutrophication Potential,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,28
